date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:03	32079/32079	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:04%20GMT	https://www.asb.com/about/contact-us	C:/My%20Web%20Sites/asb/www.asb.com/about/contact-us.html	(from https://www.asb.com/)
14:48:04	30626/30626	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:04%20GMT	https://www.asb.com/about/types-of-support	C:/My%20Web%20Sites/asb/www.asb.com/about/types-of-support.html	(from https://www.asb.com/)
14:48:04	84146/84146	---MC-	200	added ('OK')	image/jpeg	etag:%220315dceda7f125f2e3b2c12b1157bf3c%22	https://www.asb.com/assets/files/nXqWDoMG/Hero%20image%20PAtrick%20Mahomes.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/nXqWDoMG/Hero%20image%20PAtrick%20Mahomes.jpg	(from https://www.asb.com/)
14:48:04	783135/783135	---MC-	200	added ('OK')	image/png	etag:%220eab87b11808294b4e49a25b28206c93%22	https://www.asb.com/assets/files/GkQytvpM/Hero%20patrick%20flexing%20tech%20uniform.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/GkQytvpM/Hero%20patrick%20flexing%20tech%20uniform.png	(from https://www.asb.com/)
14:48:04	2126/2126	---MC-	200	added ('OK')	image/png	etag:%224554e2da4c0eb794f9c19b83caf5fecf%22	https://www.asb.com/assets/files/sLo0P4Fw/icon-phone-30px.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/sLo0P4Fw/icon-phone-30px.png	(from https://www.asb.com/)
14:48:04	1214/1214	---MC-	200	added ('OK')	image/png	etag:%227158e537a4f7ed43146de6dc82e44c4c%22	https://www.asb.com/assets/files/1b8CrOcD/icon-business-30px.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/1b8CrOcD/icon-business-30px.png	(from https://www.asb.com/)
14:48:05	1725/1725	---MC-	200	added ('OK')	image/png	etag:%226d24fbb1b7eebbc208e43d59dbd2546c%22	https://www.asb.com/assets/files/8BoMAWjb/icon-savings-30px.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/8BoMAWjb/icon-savings-30px.png	(from https://www.asb.com/)
14:48:05	1124/1124	---MC-	200	added ('OK')	image/png	etag:%22999dfae87a5bccc20851ae08378bef85%22	https://www.asb.com/assets/files/Wn8N4q5z/icon-investment-30px.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/Wn8N4q5z/icon-investment-30px.png	(from https://www.asb.com/)
14:48:05	1014/1014	---MC-	200	added ('OK')	image/png	etag:%22d31bb2cd6cdbb864f9c9e885ac49291b%22	https://www.asb.com/assets/files/ouoXbS3F/icon-creditcards-30px.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/ouoXbS3F/icon-creditcards-30px.png	(from https://www.asb.com/)
14:48:05	1815/1815	---MC-	200	added ('OK')	image/png	etag:%2250bca22128bb3a89271fd5c9bde35e80%22	https://www.asb.com/assets/files/NoUvGU0D/icon-rates-30px.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/NoUvGU0D/icon-rates-30px.png	(from https://www.asb.com/)
14:48:06	29877/29877	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:06%20GMT	https://www.asb.com/deposit-rates	C:/My%20Web%20Sites/asb/www.asb.com/deposit-rates.html	(from https://www.asb.com/)
14:48:06	1730/1730	---MC-	200	added ('OK')	image/png	etag:%227690d56d03690b144087c948387fcbc3%22	https://www.asb.com/assets/files/RnyCm8Zi/icon-locations-30px.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/RnyCm8Zi/icon-locations-30px.png	(from https://www.asb.com/)
14:48:06	260640/260640	---MC-	200	added ('OK')	image/jpeg	etag:%22eb0df2b4a89fcce4c49349d23561b48a%22	https://www.asb.com/assets/files/rdNTIIcf/wide-ad_personal.jpg	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/rdNTIIcf/wide-ad_personal.jpg	(from https://www.asb.com/)
14:48:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Feb%202023%2019:48:07%20GMT	https://www.asb.com/about/locations--atms-	C:/My%20Web%20Sites/asb/www.asb.com/about/locations--atms-	(from https://www.asb.com/)
14:48:07	1593/1593	---MC-	200	added ('OK')	image/png	etag:%225fdd87ead8f7844c0344a8471428037a%22	https://www.asb.com/assets/files/9A1qSEB5/icon-envelope-30px.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/9A1qSEB5/icon-envelope-30px.png	(from https://www.asb.com/)
14:48:07	1113/1113	---MC-	200	added ('OK')	image/png	etag:%2213f86a66b287039be38d13f087cf6169%22	https://www.asb.com/assets/files/cqkZhb1D/icon-careers-30px.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/files/cqkZhb1D/icon-careers-30px.png	(from https://www.asb.com/)
14:48:07	1519/1519	---M--	200	added ('OK')	image/png	etag:%22f180ab9f522b134cc028f142de3f859c%22	https://www.asb.com/assets/img/app-store.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/img/app-store.png	(from https://www.asb.com/)
14:48:07	3344/3344	---M--	200	added ('OK')	image/png	etag:%2255a9bbad407955de45036457c22c4530%22	https://www.asb.com/assets/img/google-play.png	C:/My%20Web%20Sites/asb/www.asb.com/assets/img/google-play.png	(from https://www.asb.com/)
